IndependentA,IndependentB,IndependentC,IndependentD,ControlA,ControlB,ControlC,Dependentvariable
0.387788,0.474375,0.08196,855.04255,1114.660034,32758.08008,29593.93939,31.71860653
0.420182,0.081441,0.08173,1095.8075,94150.70313,34488.45703,13669.38775,1.655294536
0.399034,16.782227,0.069465,884.505013,1748.660034,34022.90723,39837.5,12.93522323
0.442019,6.032828,0.075864,268.310786,101969,30507.73047,57006.06061,14.15379808
0.508636,0.122168,0.079285,193.71113,60.2947998,14449.59668,16076,8.584870413
0.527503,1.43967,0.069858,1825.982784,19155.09961,42958.96875,21612.87129,5.638262144
0.569226,0.011262,0.073633,1354.271145,100.3059998,6253.828613,13351.54639,7.228416147
0.013965,0.231027,0.02256,475.112281,657.4580078,5190.375122,21964.94845,40.48999877
0.00669,0.654048,0.019744,431.147661,76585.10156,2780.740942,16227,17.5509259
0.000921,0.105681,0.016435,1334.293904,57867.69922,2471.276489,1233,3.991240409
1.101468,1.124326,0.036391,1315.981218,98765.10156,21885.10742,9536.363636,5.592852582
0.731527,0.032894,0.045627,1702.785351,56.882,37334.14453,4335.92233,10.39230485
0.009754,0.222911,0.02158,239.938939,65.4229965,13774.92676,6669.69697,6.519202405
1.289577,0.093747,0.03603,1274.615857,103916,6526.255859,5215.686275,2.547547841
1.29554,0.985118,0.03689,1779.482146,104963,14530.02686,4967.326733,12.99153571
1.126431,0.455885,0.037463,610.438188,97344.89844,27127.52344,1820.20202,10.75499884
0.560684,0.003857,0.059973,403.824671,90875.89844,11407.30591,4478.350515,7.821764507
0.000188,0.020356,0.014547,427.692989,174.0209961,25721.39795,1119,10.72753467
0.605101,0.153623,0.17534,666.304041,277.2730103,17979.44189,1157.731959,0.839642781
0.679879,0.118125,0.204618,349.065383,95.5927963,23125.10352,100,0.953939201
0.006232,0.021679,0.010581,448.509712,73419.89844,7048.632812,208.080808,1.017349497
0.003778,0.12219,0.005303,613.449929,79.7261963,43983.10156,12767,7.216647421
0.0034,0.217841,0.007906,792.418271,79.7261963,19953.53564,9232.653061,11.44530471
0.617101,0.070059,0.06681,236.285886,90875.89844,18230.53125,4121,7.695453203
0.005218,0.296107,0.017212,239.519677,88823.20313,29387.38159,15786.40777,12.9034879
1.323976,0.194313,0.047415,33.836577,105777,42963.28418,912.621359,3.651027253
1.313968,0.561645,0.040546,956.711158,206.2689972,51477.29834,2862.244898,11.42431617
1.134904,0.135145,0.035937,1250.956376,206.2689972,25556.31445,250.505051,4.974937186
0.717956,0.708566,0.074968,1263.55711,3615.330078,37956.2832,22174.74748,1.509966887
0.554628,0.7799,0.073079,1577.145052,105370,28898.53027,5210.309278,9.479978903
0.223062,1.870445,0.068783,1110.610348,261.0780029,39044.46094,14729,11.3137085
0.09951,1.330002,0.064439,563.616988,211.022995,45416.60938,5241.414141,4.442971978
0.076719,6.216538,0.058828,620.801583,211.022995,54387.66992,20235.71429,8.749857142
0.079697,8.819987,0.054481,146.512053,110004,39572.59131,14259.59596,12.98075499
0.07975,0.019748,0.075014,416.379689,1092.729981,26461.38867,6487.878788,13.52312834
1.155883,5.955355,0.045218,330.453433,104815,59446.74609,8029.292929,4.572745346
0.988234,0.511272,0.038509,497.374797,115795,47052.84375,2334.951456,9.721111048
0.412943,2.026615,0.077659,1987.141141,109535,13721.9541,12356.56566,8.44985207
0.288753,2.89373,0.076138,2469.454328,109535,42954.39063,23235.05155,8.396427812
0.04334,6.001893,0.061716,1917.090993,101502,29724.25781,5048.039216,1.857417562
0.049141,7.663296,0.057148,1962.608825,114373,16766.3208,10477.31959,16.74634288
0.074315,0.012938,0.067225,256.483202,476.9060059,24600.4707,7668.686869,4.924936548
0.118419,0.330653,0.079555,1006.071566,702.4260254,27177.88965,16354.08163,2.665520587
1.009216,3.16633,0.065469,670.827788,916.1719971,33887.94238,25939,3.158322339
0.973489,7.328145,0.055099,1656.767856,115598,30555.29541,21400,24.19090738
0.802703,3.042444,0.047743,2642.908593,115598,49996.47656,11418.75,8.077747211
0.527697,0.092134,0.045897,3378.625079,115598,34774.9856,2836.27451,13.39776101
0.028916,0.787754,0.058637,2937.500801,106209,14260.87793,1292,9.315309979
0.10932,0.00988,0.079866,218.617367,476.9060059,33665.23438,5437.623762,5.133712107
0.167961,0.095971,0.090975,296.229708,816.65802,33167.67481,10476.76768,5.099019514
0.686174,0.216228,0.090238,130.554675,113464,48101.71875,1068.686869,2.897412639
0.793535,2.092927,0.078913,561.118514,118310,48435.48047,21569.38775,3.733630941
0.763492,2.593735,0.069589,131.43602,123919,59560.77148,19751.45631,20.74246851
0.606135,1.124496,0.062966,902.170787,123919,56350.72266,12191.91919,40.13315338
0.353422,0.227235,0.061276,2148.671793,123919,37222.49512,2528.282828,4.293017587
0.037273,0.361429,0.070813,1666.447755,172.6269989,62397.60352,4767.326733,18.40054347
0.062599,0.403957,0.086469,2610.356495,136572,53356.03906,4073.267327,3.622844187
0.107536,0.325136,0.094514,2858.517269,136572,56781.55469,2747.42268,4.935585072
0.158295,0.542225,0.100205,2510.203398,136572,52459.26367,2871.717172,4.718050445
0.199232,0.933381,0.101449,1125.5864,137189,43232.23438,4050.505051,3.33166625
0.232537,0.191389,0.11591,735.344758,141.8600006,36741.55273,1507,12.92942381
0.247415,1.100268,0.124172,117.909189,115025,29964.0885,4070.707071,3.249615362
0.256749,0.368663,0.125161,107.416463,822.2540283,36336.45117,9746.391753,7.799358948
0.489869,1.733693,0.106325,21.283903,1831.209961,56870.14746,1932.038835,4.314510401
0.573615,6.76989,0.098134,380.320021,118310,50998.89453,23271.875,6.349803147
0.552617,2.169141,0.091897,495.905601,133435,51118.29785,20958.58586,15.20411129
0.427163,1.917149,0.087188,160.050094,118954,61629.37695,17095.91837,15.70222914
0.234135,2.049569,0.087109,551.636197,118954,48314.08447,14253.39806,23.18620279
0.050545,2.015713,0.09785,850.055477,116.3899994,54012.87647,5340.816327,5.518151865
0.067424,3.539348,0.10681,580.586811,138.7870026,66556.53711,6557.731959,3.786819246
0.084856,3.513979,0.112905,527.730289,144785,56320.53418,23090.09901,5.409251335
0.104159,2.646701,0.121323,442.208846,152999,61850.80664,26642,27.66712851
0.120556,4.546777,0.127195,501.856466,146116,56141.26465,26155.88235,9.119210492
0.132471,7.474675,0.126645,1037.404262,219.9149933,40968.98047,13086.59794,9.413022894
0.130936,3.100128,0.120564,461.519933,65.2655029,49003.52539,12466.32653,7.38241153
0.107958,0.722923,0.10931,667.848119,126876,53936.12305,10725.25252,21.34244597
0.078027,0.746762,0.096557,46.437385,121636,30192.70215,8805.825243,28.8183969
1.117945,0.673009,0.34571,537.630159,146.6069946,1588.815613,445.454545,1.565247584
0.234089,0.328822,0.131366,158.880401,141.8600006,15491.18555,444.329897,4.270831301
0.248946,1.641074,0.138965,177.668745,115025,28261.10767,5686.407767,4.354308211
0.258257,0.572916,0.139678,253.219452,123737,51367.32031,4091,9.306986623
0.358752,6.958885,0.12799,125.816788,319.1239929,61519.7793,6933.333333,4.472135955
0.414514,19.839243,0.126602,170.349605,138462,51077.71484,26485,24.45414075
0.407537,5.043687,0.125082,278.163672,134596,59065.99805,10865.04854,12.66412255
0.138693,0.533577,0.131497,354.112758,152048,55047.61133,7515.306122,10.31891467
0.111085,2.690985,0.138971,912.336994,3156.790039,49914.06226,9112.745098,17.32483766
0.128632,6.532987,0.146842,1076.063081,138.7870026,47171.14746,11515.84158,23.72024452
0.1517,9.177493,0.15165,288.525427,161809,53349.44922,30474.4898,24.05410568
0.179797,4.786027,0.159428,344.829732,261.9089966,49589.00391,30488.88889,4.897958759
0.200883,5.187596,0.165147,479.248507,181.8119965,51257.28516,24436.73469,21.10687092
0.214677,6.112832,0.162501,778.317638,219.9149933,28098.875,17001.96078,11.99249765
0.222273,1.950963,0.152034,2188.799783,152297,48282.16504,27923,15.71623365
0.206065,1.675201,0.133646,1313.939359,147573,26160.84302,21566.66667,20.2682017
0.170893,2.234374,0.111922,472.309807,232.6560059,47393.07813,13320.61856,13.65576801
1.134629,0.978516,0.390935,274.624259,66838.5,1110.945435,782.524272,0.1
0.216276,0.012064,0.143115,260.640796,93585,28844.55273,648.979592,12.89651116
0.246211,0.050242,0.149359,335.750392,123737,53588.12891,2267.346939,10.06826698
0.272076,0.045001,0.146513,271.904168,130462,46116.42969,10165.34654,8.882004278
0.304037,0.509474,0.145504,291.216731,319.1239929,48039.17188,12896.07843,1.793042108
0.354236,5.301797,0.147057,194.540253,319.1239929,53558.88281,5555.102041,9.667729827
0.397933,15.421379,0.149636,226.581734,356.4779968,56191.52344,25269.69697,7.366817495
0.406869,5.262033,0.151359,49.160277,151753,58008.4707,23010.30928,2.533771892
0.285778,0.543356,0.15673,80.459902,138156,66205.68555,1219,40.95119046
0.206454,0.14711,0.164394,1119.676802,383.7399902,45064.97266,1096.969697,9.548821917
0.191189,5.991262,0.185,912.609604,154026,68962.50781,7812,12.40383005
0.227939,8.361727,0.190115,586.041232,725.5430298,58577.58789,19602,18.11767093
0.291211,3.913317,0.195769,357.657771,155767,50152.19922,23412.62136,6.593178293
0.341378,2.802615,0.199269,716.691941,158873,54202.67383,32977.08333,19.72992651
0.353947,2.887163,0.194786,1572.798608,151312,61054.58203,24517.17172,2.75680975
0.43003,0.005178,0.370628,218.283326,64021.39844,7232.586487,1154.639175,10.72753467
1.055052,0.303208,0.447732,151.984288,66838.5,500.399101,461.616162,2
0.192228,0.165044,0.164509,279.978182,116592,35672.92773,2143,5.596427432
0.2676,0.08535,0.167688,92.918004,130462,50179.66797,4112.5,14.39079567
0.316817,0.611276,0.170782,478.499738,130462,45910.61523,3304.040404,8.339064696
0.387463,1.1034,0.177816,228.40821,141102,49855.16504,23950,22.00249986
0.445064,6.348098,0.185108,130.465166,146389,23119.18359,25015.53398,9.938309715
0.465417,9.654051,0.192288,130.382267,1428.439941,80938.96094,11959.18367,11.50521621
0.383094,1.055654,0.209913,59.361925,138156,65552.45703,2259.375,7.870196948
0.328808,0.278089,0.223934,307.280404,162.7839966,87020.75781,3245.631068,13.05603309
0.320808,2.066363,0.241676,468.816435,165471,83844.8291,4365,14.5327217
0.381797,5.422566,0.257084,225.115169,159121,94862.9375,22812,24.42283767
0.465898,5.471654,0.264055,116.191505,90.3197021,93356.07519,28964.94845,11.59827573
0.591624,4.810888,0.267437,134.169428,164510,89462.23633,19934.34343,22.36962226
0.687212,5.076026,0.264161,763.944643,170335,90258.45898,29725,9.160513086
0.696742,4.218422,0.253565,254.009542,123404,85178.375,22229.12621,27.95478492
0.628614,7.228199,0.232798,644.990062,678.8619995,60377.28711,30055.6701,15.38262006
0.515988,17.716236,0.199825,438.430869,149167,72200.96387,27609.09091,4.5475268
0.450367,14.298253,0.165378,1126.684922,209.923996,63460.50586,29540.20619,3.386738844
0.517905,3.754275,0.146425,1176.363125,116.4039993,28328.18115,7883.495146,33.32649096
1.103944,1.200122,0.125112,743.822151,219.0110016,41627.32764,5919,7.924014134
0.986087,1.209908,0.130686,208.752571,112757,34936.58594,32750,12.56662246
1.064047,10.363839,0.000148,1673.861359,275.5490112,18868.40283,240.594059,3.313608305
0.547794,0.246469,0.317594,615.24089,175.0690002,628.503296,436.893204,1.218605761
0.66824,0.230413,0.397576,940.221046,60683.60156,2042.211487,716,9.439279634
0.099071,1.00E-06,0.16829,379.601085,132.7680054,16098.25537,759.59596,3.136877428
0.15409,0.993371,0.177173,417.43233,11852.09961,46881.18359,3986.597938,7.817928114
0.183908,0.31483,0.182127,329.949841,108094,46397.55469,842.574257,9.695359715
0.314974,0.187333,0.195934,130.557295,145125,65582.95313,4509.90099,4.559605246
0.410478,0.321613,0.206883,301.969637,126641,53593.77734,6734.020619,10.23327904
0.486712,3.00439,0.21993,133.118073,157208,79216.02344,5350.505051,33.28603311
0.488071,4.315131,0.274512,244.158851,165437,86924.59766,22968.36735,19.17028951
0.483075,2.295272,0.297851,68.477086,397.4790039,92336.16406,23776.76768,18.87299658
0.540207,3.485882,0.321389,72.368591,165471,89966.39063,20778.35051,20.20643462
0.683797,5.761465,0.340599,187.215847,294.4070129,102148.25,26122.54902,15.09105695
0.814343,4.520063,0.347594,201.0995,90.3197021,120874.8477,26030,13.11678314
1.000268,3.162282,0.347713,258.270633,172601,110614.9922,10415,16.59563196
1.131863,3.079754,0.33887,310.582485,123432,97440.54297,13234.02062,16.6021083
1.123541,4.025463,0.320057,474.34752,149.4539948,87739.875,7928.282828,18.04937672
1.004083,5.285284,0.292206,465.719314,651.7470093,104463.8906,13577,6.027852022
0.794994,10.363452,0.250513,505.526968,631.039978,109041.4375,16133.98058,13.91042774
0.638852,9.141843,0.209233,193.47962,620.0490112,59702.55078,23062.8866,11.79576195
0.688116,4.744409,0.186209,717.111463,1550.670044,53950.19531,26368.68687,31.07313953
0.872326,6.755637,0.159907,290.368792,3341.120117,53230.60547,29573.46939,52.06726419
1.06608,5.405032,0.142801,569.829884,134665,53262.68359,24029.41177,13.75699822
1.190375,3.481135,0.139989,314.827975,89486.29688,13677.64551,12619.80198,14.97330959
1.2255,2.870125,0.147088,1174.55121,89486.29688,38012.02148,8581.632653,4.796873982
1.094311,1.058263,0.1563,2156.591892,87038.20313,42783.30859,26611.11111,15.58845727
1.208783,9.828672,0.000215,270.879485,74.896698,35566.59766,1418.556701,23.31330092
1.329184,2.656226,0.001617,358.884399,40304.10156,19053.62158,1745.098039,5.937171044
0.133537,0.007773,0.171616,146.289439,98652.70313,57246.74902,2487.628866,5.273044661
0.149275,0.513449,0.184181,465.61677,97440.89844,46951.10059,4536.734694,1.838477631
0.558651,6.583621,0.306245,423.644122,790.65802,68625.42969,25179.16667,29.39846935
0.58262,7.436123,0.342749,302.395317,136.2189941,70290.41406,27663.63636,26.51744709
0.608988,6.433481,0.377313,192.955278,169915,90973.55859,38386,28.6352056
0.662216,2.439093,0.406787,154.480954,168458,88179.60156,39571.56863,16.3291151
0.811969,3.868367,0.426407,119.051635,170117,98125.50977,34888,20.17002727
1.047067,10.66139,0.437249,234.930246,1733.099976,102078.3633,31251.02041,18.95626545
1.249081,8.53437,0.438228,124.872543,329.9349976,113520.8242,28233.67347,19.01630879
1.526115,5.739265,0.431435,90.965996,2647.219971,123897.5273,29234,40.55884614
1.703736,11.930129,0.415045,316.360092,123432,104011.9219,20835.29412,32.58949217
1.668265,6.865303,0.388131,621.13359,459.9379883,87047.28125,2967.676768,9.245809862
1.471625,6.305772,0.354181,282.406091,161734,101311.2773,5302.020202,9.273618495
1.157962,8.155367,0.306908,514.976654,8251.110352,97432.45703,12375,12.9305839
0.870719,7.218614,0.258306,836.968591,620.0490112,72512.29883,10248.54369,10.88301429
0.823578,4.393681,0.230186,946.556839,146461,54875.11133,33708,8.756140702
0.917571,6.001453,0.196341,1115.885902,377.2919922,55774.32031,34557,18.05768534
1.046507,5.348788,0.171473,731.247758,2097.459961,72181.01758,25449.48454,20.89832529
1.136897,3.863571,0.163542,1347.283406,136612,60819.8125,9446.464646,46.85957746
1.160909,1.245887,0.169096,2255.323928,1537.650024,33350.76318,11657,11.56589815
1.006109,0.438944,0.010574,938.411799,155.1970062,11676.43426,160,0.509901951
1.144202,1.332198,0.323456,248.183589,57222.10156,6872.091309,309,0.994987437
1.293601,0.019526,0.401721,48.391946,157.0119934,7313.761475,202,2.449489743
0.254193,0.131399,0.191683,275.453938,105241,42614.13867,391,4
0.280842,0.703588,0.198067,348.296213,96203.70313,43568.95703,2197,5.08920426
0.303296,1.273153,0.202568,301.518801,97440.89844,44820.71094,13885.56701,10.81665383
0.227756,1.421482,0.205753,229.228919,119667,79657.28906,16711.76471,8.798863563
0.241834,6.365333,0.223839,71.169021,135375,110388.9414,20382.17822,24.06553552
0.291669,8.811253,0.245648,267.839591,135375,95139.85156,22198.97959,17.76935564
0.596036,1.09739,0.403743,190.262214,173162,82375.42188,14059.2233,23.87781397
0.66531,4.048015,0.460242,208.57995,155510,88965.64844,17069.69697,16.38596961
0.73339,7.260314,0.506915,477.309107,181097,93097.73438,30212.12121,17.04611393
0.833708,3.420252,0.540909,421.574589,184543,134338.7969,33416.49485,26.92210987
1.065969,4.349793,0.554458,156.439444,184685,128804.8789,27131.68317,19.22615406
1.426078,7.379099,0.552277,213.389929,164602,66845.67188,27644,27.81654184
1.710259,8.008604,0.540986,259.833284,163730,134588.6133,26644.55446,22.41249651
2.079454,14.493683,0.515789,493.347275,163730,144405.2969,23328.86598,27.74887385
2.296845,40.885242,0.487273,253.892619,2182.969971,118755.8516,18686.86869,3.966736694
2.232657,19.163982,0.451006,461.24485,173040,100909.1719,12401.0101,7.421590126
1.975788,17.097273,0.410099,1118.090726,929.2730103,97390.39844,14248.54369,9.019146301
1.56461,18.808005,0.359601,780.063129,929.2730103,107732.0547,22207.14286,19.8937176
1.134662,8.771543,0.306907,233.644135,141090,92963.21875,25990.90909,25.40659363
0.963103,3.413307,0.27445,971.466099,481.1730042,82518.14063,20712.37113,7.932212806
0.91594,10.447899,0.23209,1916.185536,150665,75652.41406,30689.21569,14.45683229
0.950646,8.421472,0.19993,1720.832162,246.2740021,72302.22656,23915,19.72941966
0.970912,4.118972,0.188183,2059.535622,132749,31344.91211,16243,18.51512895
0.958263,0.212504,0.190558,1658.546441,123675,32023.30176,2313.402062,15.00399947
0.83432,0.791799,0.199903,1781.054425,675.8699951,41592.84766,2876.767677,13.79347672
1.542948,0.112472,0.005361,1078.88318,245.5090027,13994.79346,414.141414,2.828427125
1.20625,0.709245,0.009669,309.172095,155.1970062,26314.875,403.921569,4.949747468
0.302591,2.110167,0.223765,382.962641,136.0200043,44641.33496,639.215686,3.605551275
0.373316,0.410056,0.223511,191.091951,105172,37468.11572,5029.591837,4.840454524
0.441325,1.421218,0.232879,330.916871,105172,39971.91699,21030.30303,8.785783972
0.472009,3.186015,0.235132,240.898962,118474,48044.33789,21781.4433,7.009636225
0.482213,4.700378,0.228486,131.08003,90267.39844,53836.86426,12032.03883,15.30147052
0.466503,5.057447,0.213926,308.207602,90267.39844,50150.42969,23886,25.91254522
0.414723,4.744307,0.204232,258.538129,90267.39844,58268.57129,17761.61616,48.43036238
0.339895,3.347925,0.214465,138.808887,90267.39844,68154.63086,17339.17526,29.9833287
0.280611,7.930015,0.250682,142.910211,128672,86987.33789,15778,32.69556545
0.289464,9.256846,0.291338,175.608775,128672,83858.61328,36295,19.10994505
0.636302,3.815747,0.526441,227.931114,372.5870056,94721.42969,11555.55556,17.59772713
0.740226,3.601474,0.598839,89.182575,228.8569946,111141.6914,9546.938776,17.23484842
0.842117,3.923015,0.65343,154.594739,9123.639648,131817.7793,27811.65048,27.86799239
0.963857,4.141714,0.688616,48.953454,179992,131918.7734,22160.60606,12.16552506
1.280232,7.074347,0.694933,105.728821,191422,128823.3516,22811.11111,10.37063161
1.752072,5.443332,0.677794,164.033806,270.6940002,160284.5625,19160.82474,26.9351072
2.114405,13.354672,0.651758,245.156374,160643,138587.3457,19942.57426,20.61067684
2.559288,19.072973,0.600659,260.560282,181.7429962,133311.2539,18404,3.198437118
2.809735,42.051533,0.547174,714.872537,173.7369995,118499.4297,15644.11765,29.71497939
2.746116,25.819216,0.498479,894.260539,164.6549988,97159.6875,7791.666667,14.00714104
2.449736,23.567214,0.450866,1341.865272,182714,96110.20117,30749.49495,45.91296113
1.987177,18.883781,0.398978,360.121422,929.2730103,70869.44141,29854.54545,37.51399739
1.483816,8.2421,0.343691,1058.757455,154089,60077.31055,22175.72816,35.60898763
1.191552,10.106584,0.307822,490.691231,149724,64285.74268,22012.12121,15.36603397
0.974894,20.938164,0.258996,476.959119,294.4190063,62048.29492,27870.40816,51.21035052
0.872236,12.185146,0.221261,88.335748,249.8339996,51751.29248,24424.74227,11.46036649
0.789094,5.772808,0.205152,697.758704,459.1610107,42872.2793,17562.7451,23.52658071
0.685934,2.034568,0.204144,890.149952,95695.79688,33700.20459,17522,31.87844099
0.237565,0.022887,0.212281,96.110136,95695.79688,914.586597,930.30303,5.304714884
1.451116,0.231894,0.004213,25.873073,245.5090027,11613.5304,198.019802,3.896151948
1.240268,5.138167,0.008095,804.498206,42.0200996,42457.06152,1612.371134,3.908324449
1.137013,0.044166,0.45256,294.837404,97.5626984,26620.00195,70.588235,1.688194302
0.356131,3.918839,0.251482,138.53323,94.8420029,49438.57813,1486.868687,11.58404075
0.471649,0.821047,0.261575,77.966895,94.8420029,39636.1875,4841,12.88700896
